Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"Travis Jankowski","- - -","LF",110,59,598.2,119,0,0,0,0,0,0,0,0,,,,,,1,,"Travis Jankowski",13768,608671
"Travis Jankowski","- - -","RF",62,30,300.1,71,1,3,2,1,0,0,0,0,,,,,,0.96,,"Travis Jankowski",13768,608671
"Rob Refsnyder","BOS","LF",115,77,716,137,4,3,3,0,0,0,0,0,,,,,,0.97916667,,"Rob Refsnyder",13770,608701
"Rob Refsnyder","BOS","RF",68,40,369.1,88,5,2,2,0,0,0,0,0,,,,,,0.97894737,,"Rob Refsnyder",13770,608701
"Zach Eflin","- - -","P",73,73,414.1,27,44,2,0,2,4,3,0,1,,14,,,,0.97260274,,"Zach Eflin",13774,621107
"Joey Wendle","- - -","SS",110,82,770.1,109,225,10,6,4,44,23,21,2,,,,,,0.97093023,,"Joey Wendle",13853,621563
"Chris Flexen","- - -","P",83,47,306,16,34,1,0,1,4,3,0,1,,12,,,,0.98039216,,"Chris Flexen",13896,623167
"Tyler Heineman","- - -","C",80,60,533.2,551,32,8,2,6,1,2,1,0,,47,18,0,16,0.98646362,,"Tyler Heineman",13897,623168
"Michael Wacha","- - -","P",81,81,460,22,36,0,0,0,5,3,0,2,,10,,,,1,,"Michael Wacha",14078,608379
"Kevin Gausman","TOR","P",90,90,534.2,33,36,1,0,1,2,2,0,0,,55,,,,0.98571429,,"Kevin Gausman",14107,592332
"Eric Haase","- - -","C",111,89,822.1,786,20,6,2,4,0,1,0,0,,49,14,1,30,0.99261084,,"Eric Haase",14111,606992
"Joey Gallo","- - -","1B",110,90,799.2,691,43,0,0,0,67,10,0,66,19,,,,,1,,"Joey Gallo",14128,608336
"Joey Gallo","- - -","LF",53,34,318.1,66,2,2,1,1,0,1,0,0,,,,,,0.97142857,,"Joey Gallo",14128,608336
"Byron Buxton","MIN","CF",200,193,1632,455,4,2,2,0,0,0,0,0,,,,,,0.99566161,,"Byron Buxton",14161,621439
"Carlos Correa","HOU","3B",35,35,311,21,63,3,2,1,6,7,0,2,,,,,,0.96551724,,"Carlos Correa",14162,621043
"Carlos Correa","- - -","SS",313,310,2621.1,404,626,20,12,8,104,46,58,8,,,,,,0.98095238,,"Carlos Correa",14162,621043
"José Berríos","TOR","P",93,93,542,38,55,4,0,4,4,4,0,0,,36,,,,0.95876289,,"Jose Berrios",14168,621244
"Jorge Soler","- - -","RF",115,113,861.1,155,3,1,1,0,0,0,0,0,,,,,,0.99371069,,"Jorge Soler",14221,624585
"Mitch Haniger","SFG","LF",46,43,370.1,73,1,2,2,0,0,0,0,0,,,,,,0.97368421,,"Mitch Haniger",14274,571745
"Mitch Haniger","- - -","RF",104,90,786.2,178,4,5,5,0,0,0,0,0,,,,,,0.97326203,,"Mitch Haniger",14274,571745
"Matt Olson","ATL","1B",470,470,4157.1,3497,334,19,15,4,308,49,1,314,57,,,,,0.99506494,,"Matt Olson",14344,621566
"Joey Meneses","WSN","1B",69,68,587.2,476,38,0,0,0,45,3,0,49,6,,,,,1,,"Joey Meneses",14366,608841
"Tyler Glasnow","- - -","P",58,58,329.2,32,20,0,0,0,1,1,0,0,,40,,,,1,,"Tyler Glasnow",14374,607192
"Jake Cave","- - -","LF",67,53,459.2,92,3,1,1,0,0,2,0,0,,,,,,0.98958333,,"Jake Cave",14477,595909
"Jake Cave","- - -","RF",103,62,606,143,4,1,1,0,0,0,0,0,,,,,,0.99324324,,"Jake Cave",14477,595909
"Anthony Santander","- - -","RF",242,239,2028.2,492,12,3,2,1,0,3,0,0,,,,,,0.99408284,,"Anthony Santander",14551,623993
"Harold Castro","COL","2B",68,56,471.1,105,143,3,1,2,47,16,32,1,,,,,,0.98804781,,"Harold Castro",14691,605612
"Manuel Margot","- - -","CF",76,63,571.2,145,1,3,3,0,0,0,0,0,,,,,,0.97986577,,"Manuel Margot",14712,622534
"Manuel Margot","- - -","RF",93,70,604.2,131,0,2,1,1,0,0,0,0,,,,,,0.98496241,,"Manuel Margot",14712,622534
"Kyle Farmer","- - -","2B",149,90,825,103,230,2,2,0,56,21,37,1,,,,,,0.99402985,,"Kyle Farmer",14813,571657
"Kyle Farmer","- - -","3B",80,50,481,40,77,4,3,1,7,8,0,1,,,,,,0.96694215,,"Kyle Farmer",14813,571657
"Kyle Farmer","- - -","SS",65,40,409.1,48,92,2,1,1,14,6,8,2,,,,,,0.98591549,,"Kyle Farmer",14813,571657
