,Team,PA,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,R,RBI,AVG,OBP,SLG,OPS
Nick Madrigal,CHC,165,134,35,25,10,0,0,31,24,0,0,0,13,0.261,0.4,0.336,0.736
Connor Wong,BOS,264,224,53,36,8,2,7,40,36,0,0,0,23,0.237,0.352,0.384,0.736
Masataka Yoshida,BOS,286,242,60,42,12,0,6,44,40,0,0,0,31,0.248,0.364,0.372,0.736
Jorge Barrosa,ARI,322,267,68,48,16,2,2,55,58,0,0,0,27,0.255,0.382,0.352,0.734
J.D. Davis,CIN,243,218,53,34,10,0,9,25,40,0,0,0,39,0.243,0.321,0.413,0.734
Leo Rivas,SEA,503,410,103,78,16,5,4,93,73,0,0,0,33,0.251,0.39,0.344,0.734
Harold Ramírez,DET,140,119,30,21,6,1,2,21,21,0,0,0,17,0.252,0.364,0.37,0.734
Sean Bouchard,COL,254,214,48,28,12,1,7,40,49,0,0,0,23,0.224,0.346,0.388,0.734
Oscar Gonzalez,BAL,353,313,81,54,20,0,7,40,57,0,0,0,42,0.259,0.343,0.39,0.733
Akil Baddoo,DET,166,138,31,20,5,2,4,28,25,0,0,0,21,0.225,0.355,0.377,0.732
Garrett Mitchell,MIL,321,268,57,33,11,3,10,53,64,0,0,0,53,0.213,0.343,0.388,0.731
Ryan Mountcastle,BAL,387,325,78,53,16,1,8,62,56,0,0,0,49,0.24,0.362,0.369,0.731
Austin Shenton,TBR,242,206,48,30,11,1,6,36,41,0,0,0,24,0.233,0.347,0.383,0.73
Ildemaro Vargas,DET,150,127,32,23,6,1,2,23,22,0,0,0,14,0.252,0.367,0.362,0.729
Enmanuel Valdez,SFG,163,144,33,17,11,0,5,19,23,0,0,0,24,0.229,0.319,0.41,0.729
Leody Taveras,DET,164,141,36,24,9,2,1,23,28,0,0,0,16,0.255,0.36,0.369,0.729
Rougned Odor,SDP,351,298,71,49,11,3,8,53,46,0,0,0,40,0.238,0.353,0.376,0.729
Anthony Santander,CHC,308,255,53,32,9,0,12,53,44,0,0,0,33,0.208,0.344,0.384,0.728
José Tena,DET,164,141,37,27,8,0,2,23,26,0,0,0,10,0.262,0.366,0.362,0.728
Luis Campusano,SDP,308,264,59,35,13,1,10,44,48,0,0,0,33,0.223,0.334,0.394,0.728
César Salazar,HOU,162,134,33,22,9,1,1,28,14,0,0,0,18,0.246,0.377,0.351,0.728
Dylan Carlson,MIA,279,231,52,36,7,1,8,48,48,0,0,0,27,0.225,0.358,0.368,0.726
Jace Jung,DET,135,108,26,19,5,1,1,27,12,0,0,0,9,0.241,0.393,0.333,0.726
Brian Anderson,CIN,175,152,36,25,5,0,6,23,29,0,0,0,27,0.237,0.337,0.388,0.725
Spencer Torkelson,DET,232,203,49,33,9,0,7,29,40,0,0,0,28,0.241,0.336,0.389,0.725
Marcus Semien,TEX,311,260,56,38,5,1,12,51,51,0,0,0,45,0.215,0.344,0.381,0.725
Jarred Kelenic,DET,275,238,56,36,12,0,8,37,48,0,0,0,24,0.235,0.338,0.387,0.725
Edgar Quero,CHW,256,221,52,33,12,0,7,35,36,0,0,0,30,0.235,0.34,0.385,0.725
Franmil Reyes,KCR,194,164,38,24,9,1,4,30,31,0,0,0,18,0.232,0.351,0.372,0.723
Moisés Ballesteros,CHC,166,138,32,24,3,0,5,28,18,0,0,0,17,0.232,0.361,0.362,0.723
Robert Hassell III,WSN,175,142,33,22,8,1,2,33,24,0,0,0,19,0.232,0.377,0.345,0.722
Xavier Edwards,MIA,252,204,50,38,9,0,3,48,39,0,0,0,27,0.245,0.389,0.333,0.722
Johnathan Rodríguez,CLE,313,265,61,45,5,0,11,48,44,0,0,0,33,0.23,0.348,0.374,0.722
Luke Maile,COL,164,139,33,22,7,1,3,25,25,0,0,0,10,0.237,0.354,0.367,0.721
Alex Verdugo,TOR,349,300,72,45,20,1,6,49,54,0,0,0,35,0.24,0.347,0.373,0.72
Jake Meyers,HOU,220,188,48,35,10,0,3,32,35,0,0,0,26,0.255,0.364,0.356,0.72
