,Team,PA,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,R,RBI,AVG,OBP,SLG,OPS
Kris Bryant,COL,172,147,38,21,12,1,4,25,23,0,0,0,22,0.259,0.366,0.435,0.801
Dylan Crews,WSN,230,197,53,36,9,2,6,33,34,0,0,0,30,0.269,0.374,0.426,0.8
Dominic Canzone,ARI,335,300,73,41,12,2,18,35,55,0,0,0,51,0.243,0.322,0.477,0.799
Marco Luciano,SFG,206,154,40,27,12,1,0,52,28,0,0,0,12,0.26,0.447,0.351,0.798
Chris Taylor,SFG,168,140,34,22,5,0,7,28,27,0,0,0,18,0.243,0.369,0.429,0.798
Gavin Sheets,DET,164,138,36,26,4,0,6,26,24,0,0,0,20,0.261,0.378,0.42,0.798
Stuart Fairchild,WSN,166,139,36,22,10,0,4,27,33,0,0,0,19,0.259,0.38,0.417,0.797
Bryce Johnson,LAA,161,133,36,21,14,0,1,28,24,0,0,0,15,0.271,0.398,0.398,0.796
Ryan Ritter,COL,161,136,39,31,4,1,3,25,32,0,0,0,14,0.287,0.398,0.397,0.795
Kyle Teel,CHW,326,269,64,41,9,1,13,57,66,0,0,0,41,0.238,0.371,0.424,0.795
Drew Waters,KCR,201,173,47,33,7,2,5,28,28,0,0,0,23,0.272,0.373,0.422,0.795
Mickey Moniak,ATL,481,424,109,68,20,1,20,57,77,0,0,0,72,0.257,0.345,0.45,0.795
Jake Fraley,PIT,166,136,36,23,10,1,2,30,18,0,0,0,15,0.265,0.398,0.397,0.795
DJ Stewart,NYM,316,256,59,34,13,1,11,60,53,0,0,0,34,0.23,0.377,0.418,0.795
Tom Murphy,CHC,324,262,56,34,4,1,17,62,44,0,0,0,34,0.214,0.364,0.431,0.795
Matt Mervis,CHW,284,249,64,42,9,1,12,35,45,0,0,0,45,0.257,0.349,0.446,0.795
Dominic Fletcher,PIT,163,143,41,32,3,2,4,20,22,0,0,0,20,0.287,0.374,0.42,0.794
Aaron Hicks,OAK,168,143,33,19,5,1,8,25,28,0,0,0,18,0.231,0.345,0.448,0.793
Bryson Stott,PHI,305,260,64,36,17,1,10,45,34,0,0,0,41,0.246,0.357,0.435,0.792
Juan Yepez,BOS,192,154,38,23,11,0,4,38,33,0,0,0,25,0.247,0.396,0.396,0.792
Kyle Lewis,ARI,419,346,87,52,24,2,9,73,82,0,0,0,40,0.251,0.382,0.41,0.792
Mookie Betts,LAD,431,368,95,61,20,1,13,63,81,0,0,0,60,0.258,0.367,0.424,0.791
Abraham Toro,PHI,239,196,51,35,10,1,5,43,25,0,0,0,42,0.26,0.393,0.398,0.791
Javier Sanoja,MIA,334,278,75,51,18,0,6,56,41,0,0,0,32,0.27,0.392,0.399,0.791
Zack Short,TEX,217,176,44,32,5,0,7,41,35,0,0,0,23,0.25,0.392,0.398,0.79
Blake Dunn,CIN,163,134,33,23,4,0,6,29,31,0,0,0,15,0.246,0.38,0.41,0.79
Andy Pages,LAD,383,339,86,51,18,2,15,44,55,0,0,0,43,0.254,0.339,0.451,0.79
Oneil Cruz,PIT,324,248,49,27,7,1,14,76,55,0,0,0,34,0.198,0.386,0.403,0.789
Randy Arozarena,SDP,413,348,84,52,15,1,16,65,73,0,0,0,51,0.241,0.361,0.428,0.789
Kristian Campbell,BOS,311,273,67,39,13,2,13,38,48,0,0,0,32,0.245,0.338,0.451,0.789
Gary Sánchez,SDP,402,333,73,43,9,0,21,69,79,0,0,0,68,0.219,0.353,0.435,0.788
Alan Roden,LAD,335,276,68,42,16,1,9,59,50,0,0,0,39,0.246,0.379,0.409,0.788
Austin Barnes,LAD,336,277,70,47,12,3,8,59,50,0,0,0,38,0.253,0.384,0.404,0.788
Dillon Dingler,DET,264,223,58,37,14,1,6,41,35,0,0,0,25,0.26,0.375,0.413,0.788
Ryan Vilade,CHW,324,278,73,53,8,0,12,46,49,0,0,0,40,0.263,0.367,0.421,0.788
Jake Marisnick,NYM,227,203,55,40,5,1,9,24,29,0,0,0,36,0.271,0.348,0.438,0.786
Jonah Heim,TEX,293,233,58,40,10,3,5,60,37,0,0,0,39,0.249,0.403,0.382,0.785
Donovan Solano,CHW,321,276,73,44,22,1,6,45,49,0,0,0,43,0.264,0.368,0.417,0.785
Omar Narváez,KCR,166,139,40,31,7,0,2,27,22,0,0,0,11,0.288,0.404,0.381,0.785
Jeremiah Jackson,BAL,419,336,82,57,13,0,12,83,56,0,0,0,57,0.244,0.394,0.39,0.784
Taylor Walls,TBR,255,210,53,34,13,0,6,45,37,0,0,0,33,0.252,0.384,0.4,0.784
Ramón Laureano,LAD,397,334,82,52,15,2,13,63,65,0,0,0,47,0.246,0.365,0.419,0.784
Luke Keaschall,MIN,340,273,66,44,12,1,9,67,32,0,0,0,45,0.242,0.391,0.392,0.783
Heliot Ramos,SFG,219,185,45,26,12,0,7,34,25,0,0,0,19,0.243,0.361,0.422,0.783
Austin Riley,ATL,538,441,97,54,19,2,22,97,87,0,0,0,74,0.22,0.361,0.422,0.783
Joey Meneses,WSN,192,158,42,31,7,0,4,34,31,0,0,0,25,0.266,0.396,0.386,0.782
Lenyn Sosa,CHW,270,227,60,45,7,0,8,43,45,0,0,0,37,0.264,0.381,0.401,0.782
Elehuris Montero,COL,230,192,46,30,6,2,8,38,40,0,0,0,27,0.24,0.365,0.417,0.782
Trey Sweeney,DET,219,193,49,31,8,2,8,26,41,0,0,0,32,0.254,0.342,0.44,0.782
Bryce Teodosio,LAA,162,141,38,25,9,0,4,21,18,0,0,0,23,0.27,0.364,0.418,0.782
Nick Loftin,KCR,176,145,35,20,10,1,4,31,17,0,0,0,21,0.241,0.375,0.407,0.782
Brooks Lee,MIN,332,271,67,44,14,1,8,61,51,0,0,0,32,0.247,0.386,0.395,0.781
Hunter Goodman,COL,314,274,63,37,8,1,17,40,58,0,0,0,29,0.23,0.328,0.453,0.781
Jorge Mateo,BAL,327,287,77,54,12,1,10,40,53,0,0,0,29,0.268,0.358,0.422,0.78
Cavan Biggio,LAD,346,289,67,41,11,1,14,57,59,0,0,0,46,0.232,0.358,0.422,0.78
Josh Harrison,PHI,254,211,61,49,9,1,2,43,28,0,0,0,21,0.289,0.409,0.37,0.779
Adley Rutschman,BAL,332,272,61,36,11,1,13,60,49,0,0,0,42,0.224,0.364,0.415,0.779
Tyler Tolbert,KCR,265,227,54,29,14,3,8,38,36,0,0,0,35,0.238,0.347,0.432,0.779
Ryan Noda,PHI,330,280,75,54,12,2,7,50,49,0,0,0,41,0.268,0.379,0.4,0.779
James Outman,CLE,282,248,59,35,10,0,14,34,51,0,0,0,41,0.238,0.33,0.448,0.778
Eric Haase,CHC,199,175,49,34,11,0,4,24,34,0,0,0,31,0.28,0.367,0.411,0.778
Jonathan India,MIA,317,271,68,43,14,2,9,46,53,0,0,0,27,0.251,0.36,0.417,0.777
Jorge Alfaro,BOS,299,254,65,45,9,3,8,45,37,0,0,0,33,0.256,0.368,0.409,0.777
Esteury Ruiz,LAA,157,137,39,28,8,1,2,20,24,0,0,0,19,0.285,0.376,0.401,0.777
Eddie Rosario,HOU,293,253,66,45,11,2,8,40,45,0,0,0,31,0.261,0.362,0.415,0.777
Max Kepler,MIA,343,292,67,42,8,0,17,51,48,0,0,0,64,0.229,0.344,0.432,0.776
Connor Norby,TEX,323,271,64,37,16,0,11,52,46,0,0,0,35,0.236,0.359,0.417,0.776
Denzel Clarke,OAK,178,147,38,31,1,0,6,31,31,0,0,0,21,0.259,0.388,0.388,0.776
Ryan Jeffers,MIN,395,318,75,49,14,1,11,77,56,0,0,0,58,0.236,0.385,0.39,0.775
Blaze Alexander,ARI,328,285,74,52,10,1,11,43,48,0,0,0,42,0.26,0.357,0.418,0.775
Cooper Hummel,OAK,314,260,59,33,14,1,11,54,54,0,0,0,36,0.227,0.36,0.415,0.775
Eric Hosmer,CHC,165,130,32,24,4,0,4,35,24,0,0,0,17,0.246,0.406,0.369,0.775
Yoán Moncada,LAA,176,149,35,20,8,1,6,27,31,0,0,0,30,0.235,0.352,0.423,0.775
Jorge Soler,COL,267,226,51,29,9,2,11,41,59,0,0,0,44,0.226,0.345,0.429,0.774
Will Wagner,LAA,165,143,36,23,6,3,4,22,24,0,0,0,17,0.252,0.352,0.42,0.772
Carlos Pérez,OAK,482,404,100,67,18,0,15,78,53,0,0,0,79,0.248,0.369,0.403,0.772
Wander Franco,TBR,325,282,72,48,13,0,11,43,45,0,0,0,44,0.255,0.354,0.418,0.772
Dane Myers,MIA,345,289,73,50,13,1,9,56,53,0,0,0,59,0.253,0.374,0.398,0.772
Dalton Rushing,LAD,488,412,98,59,22,0,17,76,95,0,0,0,44,0.238,0.357,0.415,0.772
Aledmys Díaz,CLE,230,193,56,45,9,0,2,37,28,0,0,0,20,0.29,0.404,0.368,0.772
Andrew Velazquez,LAA,152,132,35,26,4,0,5,20,29,0,0,0,15,0.265,0.362,0.409,0.771
Nate Eaton,CIN,164,139,33,19,8,1,5,25,23,0,0,0,20,0.237,0.354,0.417,0.771
Will Benson,CIN,314,263,62,39,11,1,11,51,68,0,0,0,35,0.236,0.36,0.411,0.771
Parker Meadows,DET,163,129,31,22,4,2,3,34,23,0,0,0,16,0.24,0.399,0.372,0.771
Sam Haggerty,NYY,263,205,47,31,9,1,6,58,36,0,0,0,28,0.229,0.399,0.371,0.77
Warming Bernabel,COL,180,148,36,27,2,1,6,32,23,0,0,0,27,0.243,0.378,0.392,0.77
Elias Díaz,SFG,170,149,38,23,10,0,5,21,26,0,0,0,24,0.255,0.347,0.423,0.77
Rowdy Tellez,HOU,269,237,58,37,8,2,11,32,38,0,0,0,30,0.245,0.335,0.435,0.77
Andrés Giménez,PIT,163,147,43,36,2,0,5,16,17,0,0,0,25,0.293,0.362,0.408,0.77
Liam Hicks,MIA,267,223,55,37,9,2,7,44,44,0,0,0,31,0.247,0.371,0.399,0.77
Jon Berti,PIT,169,147,39,27,7,1,4,22,25,0,0,0,18,0.265,0.361,0.408,0.769
Cam Gallagher,CLE,171,146,43,33,9,1,0,25,24,0,0,0,9,0.295,0.398,0.37,0.768
Billy McKinney,PIT,220,189,40,22,5,0,13,31,46,0,0,0,34,0.212,0.323,0.444,0.767
Tommy Pham,COL,184,154,37,22,10,0,5,30,27,0,0,0,21,0.24,0.364,0.403,0.767
Buddy Kennedy,CHW,299,257,71,51,15,1,4,42,49,0,0,0,35,0.276,0.378,0.389,0.767
Gleyber Torres,DET,166,141,33,16,12,1,4,25,24,0,0,0,23,0.234,0.349,0.418,0.767
Thomas Saggese,STL,233,196,49,29,15,1,4,37,32,0,0,0,30,0.25,0.369,0.398,0.767
Oscar Colás,CHW,294,246,64,41,19,0,4,48,50,0,0,0,27,0.26,0.381,0.386,0.767
Jordan Beck,COL,205,168,42,27,11,1,3,37,23,0,0,0,22,0.25,0.385,0.381,0.766
Alex Bregman,SDP,362,302,71,42,18,0,11,60,49,0,0,0,49,0.235,0.362,0.404,0.766
Riley Greene,DET,285,232,50,30,7,2,11,53,55,0,0,0,31,0.216,0.361,0.405,0.766
Lourdes Gurriel Jr.,ARI,329,270,60,30,20,1,9,59,32,0,0,0,41,0.222,0.362,0.404,0.766
Zach Neto,LAA,191,162,37,22,7,0,8,29,33,0,0,0,27,0.228,0.346,0.42,0.766
Andruw Monasterio,MIL,326,269,71,49,18,1,3,57,51,0,0,0,36,0.264,0.393,0.372,0.765
Jake Cave,NYY,331,278,68,41,18,2,7,53,51,0,0,0,44,0.245,0.366,0.399,0.765
Willy Adames,MIL,334,281,61,35,10,0,16,53,50,0,0,0,45,0.217,0.341,0.423,0.764
Chas McCormick,HOU,208,173,41,25,9,2,5,35,33,0,0,0,25,0.237,0.365,0.399,0.764
Victor Caratini,CIN,171,145,35,22,7,1,5,26,26,0,0,0,15,0.241,0.357,0.407,0.764
Jared Walsh,MIN,389,317,64,35,10,0,19,72,80,0,0,0,54,0.202,0.35,0.413,0.763
Otto Kemp,PHI,349,301,72,42,17,2,11,48,49,0,0,0,36,0.239,0.344,0.419,0.763
Samuel Basallo,BAL,371,324,85,61,12,1,11,47,68,0,0,0,37,0.262,0.356,0.407,0.763
Braden Shewmake,OAK,161,143,37,23,9,1,4,18,33,0,0,0,20,0.259,0.342,0.42,0.762
Michael Harris II,ATL,471,411,102,63,22,3,14,60,79,0,0,0,60,0.248,0.344,0.418,0.762
Isaac Collins,MIL,335,283,65,38,14,1,12,52,52,0,0,0,44,0.23,0.349,0.413,0.762
Gio Urshela,TBR,268,228,55,34,12,1,8,40,45,0,0,0,28,0.241,0.354,0.408,0.762
Henry Davis,PIT,208,170,37,21,8,1,7,38,26,0,0,0,27,0.218,0.361,0.4,0.761
DJ LeMahieu,NYY,336,278,66,46,8,1,11,58,50,0,0,0,44,0.237,0.369,0.392,0.761
Geraldo Perdomo,ARI,318,273,71,49,14,1,7,45,52,0,0,0,44,0.26,0.365,0.396,0.761
Sal Frelick,MIL,220,187,54,44,8,0,2,33,40,0,0,0,26,0.289,0.395,0.364,0.759
Jo Adell,LAA,205,168,33,14,10,0,9,37,37,0,0,0,33,0.196,0.341,0.417,0.758
Alfonso Rivas III,CIN,283,226,51,32,10,3,6,57,53,0,0,0,35,0.226,0.382,0.376,0.758
Alika Williams,PIT,163,134,36,26,8,2,0,29,20,0,0,0,12,0.269,0.399,0.358,0.757
Owen Miller,SFG,164,139,39,29,9,0,1,25,19,0,0,0,14,0.281,0.39,0.367,0.757
Brandon Lowe,TBR,333,285,66,38,16,0,12,48,61,0,0,0,48,0.232,0.342,0.414,0.756
Cole Young,SEA,467,383,98,69,21,3,5,84,68,0,0,0,52,0.256,0.39,0.366,0.756
Darick Hall,PHI,269,226,58,42,10,0,6,43,34,0,0,0,29,0.257,0.375,0.381,0.756
Matt Shaw,CHC,167,146,40,28,9,1,2,21,19,0,0,0,17,0.274,0.365,0.39,0.755
Christian Walker,STL,326,280,66,43,10,0,13,46,52,0,0,0,40,0.236,0.344,0.411,0.755
Hunter Dozier,KCR,184,158,36,18,11,2,5,26,29,0,0,0,21,0.228,0.337,0.418,0.755
Brenton Doyle,COL,243,194,49,37,8,1,3,49,40,0,0,0,28,0.253,0.403,0.351,0.754
DaShawn Keirsey Jr.,MIN,326,283,66,39,13,2,12,43,51,0,0,0,41,0.233,0.334,0.42,0.754
Byron Buxton,MIN,457,370,76,44,12,1,19,87,77,0,0,0,50,0.205,0.357,0.397,0.754
Nick Maton,COL,162,146,36,25,3,0,8,16,23,0,0,0,26,0.247,0.321,0.432,0.753
Jose Miranda,MIN,344,294,77,57,11,2,7,50,44,0,0,0,47,0.262,0.369,0.384,0.753
Harrison Bader,PIT,199,168,37,21,8,0,8,31,36,0,0,0,26,0.22,0.342,0.411,0.753
TJ Friedl,CIN,162,137,32,20,6,1,5,25,32,0,0,0,19,0.234,0.352,0.401,0.753
Jose Siri,BOS,316,264,61,37,14,1,9,52,53,0,0,0,37,0.231,0.358,0.394,0.752
Luisangel Acuña,NYM,177,149,36,21,11,1,3,28,25,0,0,0,15,0.242,0.362,0.389,0.751
Adrian Del Castillo,ARI,373,317,70,44,8,1,17,56,83,0,0,0,63,0.221,0.338,0.413,0.751
Trey Mancini,CHC,250,209,51,36,8,0,7,41,53,0,0,0,33,0.244,0.368,0.383,0.751
Terrin Vavra,BAL,309,256,69,50,17,1,1,53,40,0,0,0,27,0.27,0.395,0.355,0.75
Anthony Seigler,MIL,366,306,89,74,14,1,0,60,63,0,0,0,13,0.291,0.407,0.343,0.75
Bryan De La Cruz,DET,188,158,36,23,6,0,7,30,31,0,0,0,26,0.228,0.351,0.399,0.75
Brad Miller,TEX,240,202,54,41,9,1,3,38,40,0,0,0,30,0.267,0.383,0.366,0.749
Joey Wendle,LAA,167,141,41,35,5,0,1,26,19,0,0,0,13,0.291,0.401,0.348,0.749
Tristan Gray,DET,164,142,35,23,7,0,5,22,22,0,0,0,17,0.246,0.348,0.401,0.749
Miguel Rojas,LAD,350,304,84,64,14,1,5,46,45,0,0,0,45,0.276,0.371,0.378,0.749
Alejandro Osuna,TEX,173,146,35,23,7,0,5,27,25,0,0,0,26,0.24,0.358,0.39,0.748
AJ Pollock,BOS,319,278,68,45,12,0,11,41,40,0,0,0,32,0.245,0.342,0.406,0.748
Manuel Margot,TBR,297,247,64,49,9,1,5,50,44,0,0,0,24,0.259,0.384,0.364,0.748
Brett Harris,OAK,170,142,37,24,12,0,1,28,24,0,0,0,22,0.261,0.382,0.366,0.748
Ryan McMahon,BAL,446,380,94,68,12,0,14,66,68,0,0,0,48,0.247,0.359,0.389,0.748
Jason Vosler,PHI,284,257,66,41,15,3,7,27,44,0,0,0,41,0.257,0.327,0.42,0.747
Jason Delay,PIT,163,136,36,26,8,1,1,27,14,0,0,0,16,0.265,0.387,0.36,0.747
Tim Tawa,ARI,323,275,64,42,9,2,11,48,56,0,0,0,36,0.233,0.347,0.4,0.747
Alec Burleson,STL,260,213,52,37,9,1,5,47,31,0,0,0,33,0.244,0.381,0.366,0.747
Alek Thomas,ARI,347,300,72,45,16,0,11,47,64,0,0,0,48,0.24,0.343,0.403,0.746
Brendan Rodgers,CHC,193,166,40,26,8,0,6,27,29,0,0,0,26,0.241,0.347,0.398,0.745
Tommy Edman,SFG,192,164,39,27,5,0,7,28,32,0,0,0,26,0.238,0.349,0.396,0.745
David Fry,CLE,269,219,52,38,7,0,7,50,45,0,0,0,31,0.237,0.379,0.365,0.744
Korey Lee,CHW,216,186,46,31,9,0,6,30,38,0,0,0,27,0.247,0.352,0.392,0.744
J.P. Crawford,SEA,551,455,114,87,15,0,12,96,73,0,0,0,64,0.251,0.381,0.363,0.744
Josh Smith,TEX,227,189,43,29,6,0,8,38,37,0,0,0,30,0.228,0.357,0.386,0.743
Victor Robles,DET,162,136,36,26,8,1,1,26,28,0,0,0,11,0.265,0.383,0.36,0.743
MJ Melendez,KCR,325,272,63,40,13,1,9,53,48,0,0,0,28,0.232,0.357,0.386,0.743
Tomás Nido,OAK,168,152,38,25,6,1,6,16,33,0,0,0,22,0.25,0.321,0.421,0.742
Willi Castro,CIN,167,132,32,23,6,2,1,35,26,0,0,0,11,0.242,0.401,0.341,0.742
Andrew Vaughn,WSN,220,187,44,27,11,0,6,33,35,0,0,0,28,0.235,0.35,0.39,0.74
Jac Caglianone,KCR,323,275,63,39,12,2,10,48,56,0,0,0,28,0.229,0.344,0.396,0.74
Luis Torrens,MIA,336,285,67,43,13,2,9,51,47,0,0,0,42,0.235,0.351,0.389,0.74
Sean Murphy,ATL,492,422,96,60,17,0,19,70,100,0,0,0,69,0.227,0.337,0.403,0.74
Darell Hernaiz,OAK,163,144,37,24,9,1,3,19,24,0,0,0,14,0.257,0.344,0.396,0.74
Michael Helman,DET,156,137,35,25,5,1,4,19,22,0,0,0,19,0.255,0.346,0.394,0.74
Mark Vientos,NYM,327,274,62,40,11,0,11,53,49,0,0,0,46,0.226,0.352,0.387,0.739
Will Smith,LAD,454,378,85,59,8,2,16,76,72,0,0,0,66,0.225,0.355,0.384,0.739
Trent Grisham,CIN,213,180,38,23,5,0,10,33,40,0,0,0,31,0.211,0.333,0.406,0.739
Yan Gomes,CHC,219,190,44,28,7,1,8,29,30,0,0,0,25,0.232,0.333,0.405,0.738
Luke Raley,STL,303,250,48,27,5,0,16,53,47,0,0,0,43,0.192,0.333,0.404,0.737
Colton Cowser,BAL,400,333,68,39,11,0,18,67,69,0,0,0,61,0.204,0.338,0.399,0.737
