Inning,Inning Half,Event,Detailed Event,Contact Power,Pitch Type,Pitch Outcome,Batter,Batter Number,Bases,Baserunners,Baserunning Event,Baserunning Result,Balls,Strikes,Outs,Team 1 Score,Team 2 Score,Pitcher
2,bottom,strike,called strike,NA,curveball,strike,Jerar Encarnacion,7,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,1,1,1,3,0,George Kirby
2,bottom,foul,foul,NA,fastball,strike,Jerar Encarnacion,7,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,1,2,1,3,0,George Kirby
2,bottom,ball,ball,NA,fastball,ball,Jerar Encarnacion,7,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,2,2,1,3,0,George Kirby
2,bottom,strikeout,strikeout swinging,NA,fastball,strike,Jerar Encarnacion,7,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,2,3,2,3,0,George Kirby
2,bottom,strike,swinging strike,NA,curveball,strike,Jasson Domínguez,8,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,0,1,2,3,0,George Kirby
2,bottom,single,line drive single,medium,fastball,strike,Jasson Domínguez,8,"[1, 1, 0]","['Jasson Domínguez', 'Wilyer Abreu', 0]",None,safe,0,1,2,3,0,George Kirby
2,bottom,ball,ball,NA,slider,ball,Brandon Crawford,9,"[1, 1, 0]","['Jasson Domínguez', 'Wilyer Abreu', 0]",None,safe,1,0,2,3,0,George Kirby
2,bottom,strike,called strike,NA,slider,strike,Brandon Crawford,9,"[1, 1, 0]","['Jasson Domínguez', 'Wilyer Abreu', 0]",None,safe,1,1,2,3,0,George Kirby
2,bottom,ball,ball,NA,slider,ball,Brandon Crawford,9,"[1, 1, 0]","['Jasson Domínguez', 'Wilyer Abreu', 0]",None,safe,2,1,2,3,0,George Kirby
2,bottom,home_run,fly ball home run,medium,slider,strike,Brandon Crawford,9,"[0, 0, 0]","[0, 0, 0]",None,NA,2,1,2,3,3,George Kirby
2,bottom,ball,ball,NA,fastball,ball,Aaron Schunk,1,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,2,3,3,George Kirby
2,bottom,ball,ball,NA,fastball,ball,Aaron Schunk,1,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,2,3,3,George Kirby
2,bottom,out,line out,soft,fastball,strike,Aaron Schunk,1,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,3,3,3,George Kirby
3,top,ball,ball,NA,fastball,ball,Daniel Johnson,4,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,3,3,Fernando Cruz
3,top,ball,ball,NA,fastball,ball,Daniel Johnson,4,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,0,3,3,Fernando Cruz
3,top,ball,ball,NA,fastball,ball,Daniel Johnson,4,"[0, 0, 0]","[0, 0, 0]",None,NA,3,0,0,3,3,Fernando Cruz
3,top,walk,walk,NA,fastball,ball,Daniel Johnson,4,"[1, 0, 0]","['Daniel Johnson', 0, 0]",None,safe,4,0,0,3,3,Fernando Cruz
3,top,out,fly out,hard,fastball,strike,Owen Miller,5,"[1, 0, 0]","['Daniel Johnson', 0, 0]",None,safe,0,0,1,3,3,Fernando Cruz
3,top,out,line out,medium,fastball,strike,Jordan Lawlar,6,"[1, 0, 0]","['Daniel Johnson', 0, 0]",None,safe,0,0,2,3,3,Fernando Cruz
3,top,ball,ball,NA,fastball,ball,Mike Tauchman,7,"[1, 0, 0]","['Daniel Johnson', 0, 0]",None,safe,1,0,2,3,3,Fernando Cruz
3,top,out,ground out,medium,fastball,strike,Mike Tauchman,7,"[1, 0, 0]","['Daniel Johnson', 0, 0]",None,safe,1,0,3,3,3,Fernando Cruz
3,bottom,ball,ball,NA,fastball,ball,Richie Palacios,2,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,3,3,George Kirby
3,bottom,out,fly out,hard,slider,strike,Richie Palacios,2,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,3,3,George Kirby
3,bottom,ball,ball,NA,slider,ball,Blaze Alexander,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,3,3,George Kirby
3,bottom,ball,ball,NA,fastball,ball,Blaze Alexander,3,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,1,3,3,George Kirby
3,bottom,ball,ball,NA,fastball,ball,Blaze Alexander,3,"[0, 0, 0]","[0, 0, 0]",None,NA,3,0,1,3,3,George Kirby
3,bottom,out,ground out,soft,fastball,strike,Blaze Alexander,3,"[0, 0, 0]","[0, 0, 0]",None,NA,3,0,2,3,3,George Kirby
3,bottom,strike,swinging strike,NA,slider,strike,Elehuris Montero,4,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,2,3,3,George Kirby
3,bottom,out,fly out,medium,slider,strike,Elehuris Montero,4,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,3,3,3,George Kirby
4,top,out,fly out,medium,fastball,strike,Andrew Benintendi,8,"[0, 0, 0]","[0, 0, 0]",None,NA,0,0,1,3,3,Fernando Cruz
4,top,out,ground out,medium,slider,strike,Gleyber Torres,9,"[0, 0, 0]","[0, 0, 0]",None,NA,0,0,2,3,3,Fernando Cruz
4,top,ball,ball,NA,fastball,ball,William Contreras,1,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,2,3,3,Fernando Cruz
4,top,out,ground out,medium,slider,strike,William Contreras,1,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,3,3,3,Fernando Cruz
4,bottom,strike,called strike,NA,slider,strike,Wilyer Abreu,5,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,0,3,3,George Kirby
4,bottom,out,fly out,medium,slider,strike,Wilyer Abreu,5,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,1,3,3,George Kirby
4,bottom,ball,ball,NA,curveball,ball,Brandon Marsh,6,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,3,3,George Kirby
4,bottom,strike,called strike,NA,fastball,strike,Brandon Marsh,6,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,1,3,3,George Kirby
4,bottom,single,ground ball single,medium,curveball,strike,Brandon Marsh,6,"[1, 0, 0]","['Brandon Marsh', 0, 0]",None,safe,1,1,1,3,3,George Kirby
4,bottom,strike,called strike,NA,fastball,strike,Jerar Encarnacion,7,"[1, 0, 0]","['Brandon Marsh', 0, 0]",None,safe,0,1,1,3,3,George Kirby
4,bottom,foul,foul,NA,fastball,strike,Jerar Encarnacion,7,"[1, 0, 0]","['Brandon Marsh', 0, 0]",None,safe,0,2,1,3,3,George Kirby
4,bottom,double,ground ball double,medium,slider,strike,Jerar Encarnacion,7,"[0, 1, 0]","[0, 'Jerar Encarnacion', 0]",first to home attempted,safe,0,2,1,3,4,George Kirby
4,bottom,ball,ball,NA,fastball,ball,Jasson Domínguez,8,"[0, 1, 0]","[0, 'Jerar Encarnacion', 0]",None,safe,1,0,1,3,4,George Kirby
4,bottom,out,fly out,medium,fastball,strike,Jasson Domínguez,8,"[0, 1, 0]","[0, 'Jerar Encarnacion', 0]",None,safe,1,0,2,3,4,George Kirby
4,bottom,ball,ball,NA,fastball,ball,Brandon Crawford,9,"[0, 1, 0]","[0, 'Jerar Encarnacion', 0]",None,safe,1,0,2,3,4,George Kirby
4,bottom,ball,ball,NA,curveball,ball,Brandon Crawford,9,"[0, 1, 0]","[0, 'Jerar Encarnacion', 0]",None,safe,2,0,2,3,4,George Kirby
4,bottom,strike,called strike,NA,slider,strike,Brandon Crawford,9,"[0, 1, 0]","[0, 'Jerar Encarnacion', 0]",None,safe,2,1,2,3,4,George Kirby
4,bottom,ball,ball,NA,curveball,ball,Brandon Crawford,9,"[0, 1, 0]","[0, 'Jerar Encarnacion', 0]",None,safe,3,1,2,3,4,George Kirby
4,bottom,walk,walk,NA,curveball,ball,Brandon Crawford,9,"[1, 1, 0]","['Brandon Crawford', 'Jerar Encarnacion', 0]",None,safe,4,1,2,3,4,George Kirby
4,bottom,out,line out,medium,curveball,strike,Aaron Schunk,1,"[1, 1, 0]","['Brandon Crawford', 'Jerar Encarnacion', 0]",None,safe,0,0,3,3,4,George Kirby
5,top,ball,ball,NA,slider,ball,Trayce Thompson,2,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,3,4,Fernando Cruz
5,top,strike,swinging strike,NA,slider,strike,Trayce Thompson,2,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,0,3,4,Fernando Cruz
5,top,ball,ball,NA,slider,ball,Trayce Thompson,2,"[0, 0, 0]","[0, 0, 0]",None,NA,2,1,0,3,4,Fernando Cruz
5,top,strike,swinging strike,NA,fastball,strike,Trayce Thompson,2,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,0,3,4,Fernando Cruz
5,top,ball,ball,NA,fastball,ball,Trayce Thompson,2,"[0, 0, 0]","[0, 0, 0]",None,NA,3,2,0,3,4,Fernando Cruz
5,top,strikeout,strikeout looking,NA,fastball,strike,Trayce Thompson,2,"[0, 0, 0]","[0, 0, 0]",None,NA,3,3,1,3,4,Fernando Cruz
5,top,ball,ball,NA,slider,ball,Austin Wells,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,3,4,Fernando Cruz
5,top,strike,swinging strike,NA,fastball,strike,Austin Wells,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,1,3,4,Fernando Cruz
5,top,strike,called strike,NA,fastball,strike,Austin Wells,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,2,1,3,4,Fernando Cruz
5,top,strikeout,strikeout swinging,NA,slider,strike,Austin Wells,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,3,2,3,4,Fernando Cruz
5,top,ball,ball,NA,fastball,ball,Daniel Johnson,4,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,2,3,4,Fernando Cruz
5,top,strike,swinging strike,NA,slider,strike,Daniel Johnson,4,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,2,3,4,Fernando Cruz
5,top,ball,ball,NA,slider,ball,Daniel Johnson,4,"[0, 0, 0]","[0, 0, 0]",None,NA,2,1,2,3,4,Fernando Cruz
5,top,out,ground out,soft,fastball,strike,Daniel Johnson,4,"[0, 0, 0]","[0, 0, 0]",None,NA,2,1,3,3,4,Fernando Cruz
5,bottom,out,fly out,medium,fastball,strike,Richie Palacios,2,"[0, 0, 0]","[0, 0, 0]",None,NA,0,0,1,3,4,George Kirby
5,bottom,ball,ball,NA,slider,ball,Blaze Alexander,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,3,4,George Kirby
5,bottom,strike,called strike,NA,fastball,strike,Blaze Alexander,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,1,3,4,George Kirby
5,bottom,ball,ball,NA,slider,ball,Blaze Alexander,3,"[0, 0, 0]","[0, 0, 0]",None,NA,2,1,1,3,4,George Kirby
