,Inning,Inning Half,Event,Batter,Bases,Balls,Strikes,Outs,Team 1 Score,Team 2 Score,Pitcher
133,6,top,ball,3,"[0, 0, 0]",1,0,0,1,1,2
134,6,top,strike,3,"[0, 0, 0]",1,1,0,1,1,2
135,6,top,strike,3,"[0, 0, 0]",1,2,0,1,1,2
136,6,top,strike,3,"[0, 0, 0]",1,3,1,1,1,2
137,6,top,ball,4,"[0, 0, 0]",1,0,1,1,1,2
138,6,top,strike,4,"[0, 0, 0]",1,1,1,1,1,2
139,6,top,strike,4,"[0, 0, 0]",1,2,1,1,1,2
140,6,top,ball,4,"[0, 0, 0]",2,2,1,1,1,2
141,6,top,strike,4,"[0, 0, 0]",2,3,2,1,1,2
142,6,top,ball,5,"[0, 0, 0]",1,0,2,1,1,2
143,6,top,ball,5,"[0, 0, 0]",2,0,2,1,1,2
144,6,top,strike,5,"[0, 0, 0]",2,1,2,1,1,2
145,6,top,ball,5,"[0, 0, 0]",3,1,2,1,1,2
146,6,top,ball,5,"[1, 0, 0]",4,1,2,1,1,2
147,6,top,strike,6,"[1, 0, 0]",0,1,2,1,1,2
148,6,top,ball,6,"[1, 0, 0]",1,1,2,1,1,2
149,6,top,ball,6,"[1, 0, 0]",2,1,2,1,1,2
150,6,top,strike,6,"[1, 0, 0]",2,2,2,1,1,2
151,6,top,ball,6,"[1, 0, 0]",3,2,2,1,1,2
152,6,top,ball,6,"[1, 1, 0]",4,2,2,1,1,2
153,6,top,ground_out,7,"[1, 1, 0]",0,0,3,1,1,2
154,6,bottom,ball,13,"[0, 0, 0]",1,0,0,1,1,1
155,6,bottom,ball,13,"[0, 0, 0]",2,0,0,1,1,1
156,6,bottom,ball,13,"[0, 0, 0]",3,0,0,1,1,1
157,6,bottom,ball,13,"[1, 0, 0]",4,0,0,1,1,1
158,6,bottom,ball,14,"[1, 0, 0]",1,0,0,1,1,1
159,6,bottom,ball,14,"[1, 0, 0]",2,0,0,1,1,1
160,6,bottom,ball,14,"[1, 0, 0]",3,0,0,1,1,1
161,6,bottom,ball,14,"[1, 1, 0]",4,0,0,1,1,1
162,6,bottom,ground_out,15,"[1, 1, 0]",0,0,1,1,1,1
163,6,bottom,strike,16,"[1, 1, 0]",0,1,1,1,1,1
164,6,bottom,ball,16,"[1, 1, 0]",1,1,1,1,1,1
165,6,bottom,ball,16,"[1, 1, 0]",2,1,1,1,1,1
