Name,Season,Pitch,Pitches,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,SwStr%,pVAL,pVAL/C,NameASCII,PlayerId,MLBAMID
"Isaac Paredes",2024,"SI",506,0.26455026455026454,0.5993690851735016,0.4743083003952569,0.66,0.9368421052631579,0.8791666666666667,0.6264822134387352,0.05731225296442688,-4.223793700000002,-0.8347418379446643,"Isaac Paredes","20036",670623
"Justin Turner",2024,"SI",476,0.18072289156626506,0.5451612903225806,0.4180672268907563,0.8666666666666667,0.9526627218934911,0.9396984924623115,0.6512605042016807,0.025210084033613446,1.3345676999999998,0.28037136554621844,"Justin Turner","5235",457759
"Christian Bethancourt",2024,"SI",96,0.4528301886792453,0.7209302325581395,0.5729166666666666,0.7916666666666666,0.9032258064516129,0.8545454545454545,0.4479166666666667,0.08333333333333333,0.7132249999999996,0.7429427083333329,"Christian Bethancourt","10028",542194
"Vinny Capra",2025,"SI",74,0.2857142857142857,0.41304347826086957,0.36486486486486486,0.75,0.9473684210526315,0.8888888888888888,0.6216216216216216,0.04054054054054054,2.9105498,3.9331754054054056,"Vinny Capra","25040",681962
"Austin Wynns",2023,"SI",84,0.3333333333333333,0.5614035087719298,0.4880952380952381,0.7777777777777778,0.9375,0.9024390243902439,0.6785714285714286,0.047619047619047616,2.8698501,3.4164882142857143,"Austin Wynns","15271",642851
"Carlos Santana",2025,"SI",243,0.25225225225225223,0.5984848484848485,0.4403292181069959,0.7142857142857143,0.8860759493670886,0.8411214953271028,0.5432098765432098,0.06995884773662552,1.9724747,0.8117179835390946,"Carlos Santana","2396",467793
"Aaron Hicks",2023,"SI",113,0.16,0.5079365079365079,0.35398230088495575,0.875,0.9375,0.925,0.5575221238938053,0.02654867256637168,-0.8999367999999998,-0.7964042477876104,"Aaron Hicks","5297",543305
"Ramón Urías",2025,"SI",259,0.29473684210526313,0.6524390243902439,0.5212355212355212,0.8214285714285714,0.9065420560747663,0.8888888888888888,0.6332046332046332,0.05791505791505792,2.1848939000000014,0.843588378378379,"Ramon Urias","18795",602104
"Ryan O'Hearn",2025,"SI",255,0.19148936170212766,0.6086956521739131,0.4549019607843137,0.9444444444444444,0.8979591836734694,0.9051724137931034,0.6313725490196078,0.043137254901960784,-3.6229944999999995,-1.420782156862745,"Ryan O'Hearn","16442",656811
"Vidal Bruján",2025,"SI",61,0.21739130434782608,0.7105263157894737,0.5245901639344263,0.6,0.8888888888888888,0.84375,0.6229508196721312,0.08196721311475409,1.9305394000000005,3.1648186885245906,"Vidal Brujan","20536",660644
"Miguel Andujar",2025,"SI",232,0.3118279569892473,0.6546762589928058,0.5172413793103449,0.9655172413793104,0.989010989010989,0.9833333333333333,0.5991379310344828,0.008620689655172414,-2.0407269,-0.8796236637931035,"Miguel Andujar","15878",609280
"Jesús Sánchez",2025,"SI",163,0.16,0.6022727272727273,0.3987730061349693,0.75,0.9433962264150944,0.9076923076923077,0.5398773006134969,0.03680981595092025,-1.4683306000000003,-0.9008163190184051,"Jesus Sanchez","19913",660821
"Danny Jansen",2024,"SI",251,0.20408163265306123,0.5751633986928104,0.4302788844621514,0.7,0.9318181818181818,0.8888888888888888,0.6095617529880478,0.04780876494023904,0.6287874000000003,0.250512908366534,"Danny Jansen","16535",643376
"Lane Thomas",2024,"SI",399,0.17333333333333334,0.6305220883534136,0.45864661654135336,0.7692307692307693,0.9235668789808917,0.9016393442622951,0.6240601503759399,0.045112781954887216,-0.8995140999999989,-0.22544213032581426,"Lane Thomas","16939",657041
"Jorge Soler",2024,"SI",493,0.2422907488986784,0.5676691729323309,0.4178498985801217,0.7090909090909091,0.9006622516556292,0.8495145631067961,0.539553752535497,0.06288032454361055,-2.7901445,-0.5659522312373224,"Jorge Soler","14221",624585
"Austin Hedges",2023,"SI",131,0.2653061224489796,0.6829268292682927,0.5267175572519084,0.8461538461538461,0.9285714285714286,0.9130434782608695,0.6259541984732825,0.04580152671755725,4.972289199999999,3.795640610687022,"Austin Hedges","12976",595978
"Dylan Moore",2025,"SI",174,0.19402985074626866,0.6915887850467289,0.5,0.9230769230769231,0.8513513513513513,0.8620689655172413,0.6149425287356322,0.06896551724137931,-0.3164945000000002,-0.1818933908045978,"Dylan Moore","18042",664238
"Jason Heyward",2024,"SI",129,0.3620689655172414,0.6901408450704225,0.5426356589147286,0.7619047619047619,0.9591836734693877,0.9,0.5503875968992248,0.05426356589147287,2.5416936,1.9703051162790697,"Jason Heyward","4940",518792
"Luis Urías",2023,"SI",136,0.23636363636363636,0.5185185185185185,0.40441176470588236,0.46153846153846156,0.8333333333333334,0.7454545454545455,0.5955882352941176,0.10294117647058823,4.1869994,3.078676029411765,"Luis Urias","16622",649966
"Josh Donaldson",2023,"SI",178,0.2375,0.6224489795918368,0.449438202247191,0.631578947368421,0.8524590163934426,0.8,0.550561797752809,0.0898876404494382,7.4636043,4.193036123595506,"Josh Donaldson","5038",518626
"Kyle Stowers",2024,"SI",105,0.18518518518518517,0.7058823529411765,0.4380952380952381,0.6,0.75,0.717391304347826,0.4857142857142857,0.12380952380952381,-0.07685630000000054,-0.07319647619047671,"Kyle Stowers","26151",669065
"Nelson Velázquez",2023,"SI",111,0.28205128205128205,0.6666666666666666,0.5315315315315315,0.7272727272727273,0.9166666666666666,0.8813559322033898,0.6486486486486487,0.06306306306306306,-4.0285941,-3.6293640540540544,"Nelson Velazquez","23359",676369
"Jake Fraley",2025,"SI",94,0.2564102564102564,0.4727272727272727,0.3829787234042553,0.5,0.9230769230769231,0.8055555555555556,0.5851063829787234,0.07446808510638298,0.2712856000000001,0.28860170212765973,"Jake Fraley","19260",641584
"Enrique Hernández",2023,"SI",286,0.2719298245614035,0.5930232558139535,0.46503496503496505,0.7096774193548387,0.9215686274509803,0.8721804511278195,0.6013986013986014,0.05944055944055944,8.273196,2.8927258741258743,"Enrique Hernandez","10472",571771
"Leody Taveras",2025,"SI",74,0.18518518518518517,0.48936170212765956,0.3783783783783784,0.8,1,0.9642857142857143,0.6351351351351351,0.013513513513513514,-1.3102525000000003,-1.7706114864864868,"Leody Taveras","18900",665750
"Nathaniel Lowe",2025,"SI",377,0.23015873015873015,0.5577689243027888,0.4482758620689655,0.6896551724137931,0.9,0.863905325443787,0.6657824933687002,0.0610079575596817,8.009281599999998,2.1244778779840843,"Nathaniel Lowe","19566",663993
"Ha-Seong Kim",2025,"SI",96,0.11904761904761904,0.5370370370370371,0.3541666666666667,0.8,0.8275862068965517,0.8235294117647058,0.5625,0.0625,-0.18652139999999984,-0.19429312499999984,"Ha-Seong Kim","27506",673490
"Ty France",2024,"SI",359,0.2446043165467626,0.7090909090909091,0.5292479108635098,0.7352941176470589,0.9423076923076923,0.9052631578947369,0.6128133704735376,0.05013927576601671,5.443542100000002,1.5163069916434546,"Ty France","17982",664034
"Tomás Nido",2024,"SI",60,0.23809523809523808,0.6923076923076923,0.5333333333333333,1,0.8888888888888888,0.90625,0.65,0.05,-1.6487894999999997,-2.7479824999999996,"Tomas Nido","13755",621512
"Nick Fortes",2025,"SI",124,0.35135135135135137,0.45977011494252873,0.4274193548387097,0.8461538461538461,0.925,0.9056603773584906,0.7016129032258065,0.04032258064516129,3.2666032000000005,2.634357419354839,"Nick Fortes","21538",663743
"LaMonte Wade Jr.",2025,"SI",135,0.07142857142857142,0.5483870967741935,0.4,0.6666666666666666,0.9215686274509803,0.9074074074074074,0.6888888888888889,0.037037037037037035,5.887903199999999,4.361409777777777,"LaMonte Wade Jr.","18126",664774
