Inning,Inning Half,Event,Detailed Event,Contact Power,Pitch Type,Pitch Outcome,Batter,Batter Number,Bases,Baserunners,Baserunning Event,Baserunning Result,Balls,Strikes,Outs,Team 1 Score,Team 2 Score,Pitcher
4,bottom,ball,ball,NA,slider,ball,Graham Pauley,9,"[1, 1, 0]","['Brandon Nimmo', 'Jonathan Davis', 0]",None,safe,3,1,2,4,0,Clarke Schmidt
4,bottom,walk,walk,NA,slider,ball,Graham Pauley,9,"[1, 1, 1]","['Graham Pauley', 'Brandon Nimmo', 'Jonathan Davis']",None,safe,4,1,2,4,0,Clarke Schmidt
4,bottom,out,fly out,soft,curveball,strike,Tyrone Taylor,1,"[1, 1, 1]","['Graham Pauley', 'Brandon Nimmo', 'Jonathan Davis']",None,safe,0,0,3,4,0,Clarke Schmidt
5,top,ball,ball,NA,changeup,ball,Luken Baker,2,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,4,0,Mike Clevinger
5,top,home_run,fly ball home run,medium,fastball,strike,Luken Baker,2,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,5,0,Mike Clevinger
5,top,ball,ball,NA,fastball,ball,Curtis Mead,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,5,0,Mike Clevinger
5,top,strike,swinging strike,NA,fastball,strike,Curtis Mead,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,0,5,0,Mike Clevinger
5,top,out,ground out,medium,fastball,strike,Curtis Mead,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,1,5,0,Mike Clevinger
5,top,ball,ball,NA,fastball,ball,Hunter Feduccia,4,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,5,0,Mike Clevinger
5,top,ball,ball,NA,fastball,ball,Hunter Feduccia,4,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,1,5,0,Mike Clevinger
5,top,strike,swinging strike,NA,fastball,strike,Hunter Feduccia,4,"[0, 0, 0]","[0, 0, 0]",None,NA,2,1,1,5,0,Mike Clevinger
5,top,strike,called strike,NA,slider,strike,Hunter Feduccia,4,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,1,5,0,Mike Clevinger
5,top,out,ground out,soft,changeup,strike,Hunter Feduccia,4,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,2,5,0,Mike Clevinger
5,top,ball,ball,NA,fastball,ball,Andrew Benintendi,5,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,2,5,0,Mike Clevinger
5,top,ball,ball,NA,slider,ball,Andrew Benintendi,5,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,2,5,0,Mike Clevinger
5,top,ball,ball,NA,fastball,ball,Andrew Benintendi,5,"[0, 0, 0]","[0, 0, 0]",None,NA,3,0,2,5,0,Mike Clevinger
5,top,walk,walk,NA,fastball,ball,Andrew Benintendi,5,"[1, 0, 0]","['Andrew Benintendi', 0, 0]",None,safe,4,0,2,5,0,Mike Clevinger
5,top,out,fly out,hard,fastball,strike,Matt Thaiss,6,"[1, 0, 0]","['Andrew Benintendi', 0, 0]",None,safe,0,0,3,5,0,Mike Clevinger
5,bottom,ball,ball,NA,slider,ball,Griffin Conine,2,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,5,0,Clarke Schmidt
5,bottom,ball,ball,NA,curveball,ball,Griffin Conine,2,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,0,5,0,Clarke Schmidt
5,bottom,strike,called strike,NA,curveball,strike,Griffin Conine,2,"[0, 0, 0]","[0, 0, 0]",None,NA,2,1,0,5,0,Clarke Schmidt
5,bottom,strike,swinging strike,NA,slider,strike,Griffin Conine,2,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,0,5,0,Clarke Schmidt
5,bottom,single,line drive single,medium,slider,strike,Griffin Conine,2,"[1, 0, 0]","['Griffin Conine', 0, 0]",None,safe,2,2,0,5,0,Clarke Schmidt
5,bottom,ball,ball,NA,curveball,ball,Marcelo Mayer,3,"[1, 0, 0]","['Griffin Conine', 0, 0]",None,safe,1,0,0,5,0,Clarke Schmidt
5,bottom,single,line drive single,soft,curveball,strike,Marcelo Mayer,3,"[1, 0, 1]","['Marcelo Mayer', 0, 'Griffin Conine']",first to third attempted,safe,1,0,0,5,0,Clarke Schmidt
5,bottom,strike,called strike,NA,curveball,strike,Michael Conforto,4,"[1, 0, 1]","['Marcelo Mayer', 0, 'Griffin Conine']",None,safe,0,1,0,5,0,Clarke Schmidt
5,bottom,ball,ball,NA,curveball,ball,Michael Conforto,4,"[1, 0, 1]","['Marcelo Mayer', 0, 'Griffin Conine']",None,safe,1,1,0,5,0,Clarke Schmidt
5,bottom,strike,called strike,NA,slider,strike,Michael Conforto,4,"[1, 0, 1]","['Marcelo Mayer', 0, 'Griffin Conine']",None,safe,1,2,0,5,0,Clarke Schmidt
5,bottom,strikeout,strikeout looking,NA,slider,strike,Michael Conforto,4,"[1, 0, 1]","['Marcelo Mayer', 0, 'Griffin Conine']",None,safe,1,3,1,5,0,Clarke Schmidt
5,bottom,ball,ball,NA,slider,ball,Alex Verdugo,5,"[1, 0, 1]","['Marcelo Mayer', 0, 'Griffin Conine']",None,safe,1,0,1,5,0,Clarke Schmidt
5,bottom,out,fly out,soft,slider,strike,Alex Verdugo,5,"[1, 0, 1]","['Marcelo Mayer', 0, 'Griffin Conine']",None,safe,1,0,2,5,0,Clarke Schmidt
5,bottom,ball,ball,NA,slider,ball,Leo Jiménez,6,"[1, 0, 1]","['Marcelo Mayer', 0, 'Griffin Conine']",None,safe,1,0,2,5,0,Clarke Schmidt
5,bottom,strike,called strike,NA,curveball,strike,Leo Jiménez,6,"[1, 0, 1]","['Marcelo Mayer', 0, 'Griffin Conine']",None,safe,1,1,2,5,0,Clarke Schmidt
5,bottom,foul,foul,NA,slider,strike,Leo Jiménez,6,"[1, 0, 1]","['Marcelo Mayer', 0, 'Griffin Conine']",None,safe,1,2,2,5,0,Clarke Schmidt
5,bottom,ball,ball,NA,slider,ball,Leo Jiménez,6,"[1, 0, 1]","['Marcelo Mayer', 0, 'Griffin Conine']",None,safe,2,2,2,5,0,Clarke Schmidt
5,bottom,ball,ball,NA,changeup,ball,Leo Jiménez,6,"[1, 0, 1]","['Marcelo Mayer', 0, 'Griffin Conine']",None,safe,3,2,2,5,0,Clarke Schmidt
